Rena;750
Norma;750
Anne-Katrin;750
Gordon;748
Hannah;745
Waldtraut;742
Elfie;741
James;739
Bernward;739
Joerg;736
Tabea;734
Aurelia;729
Bertold;729
Alena;728
Meinrad;728
Gerhardt;728
Margita;726
Delia;726
Conrad;726
Francisco;723
Jeannine;722
Asta;722
Hasso;721
Irmengard;720
Zoran;720
Anneli;719
Karolin;718
Hülya;718
Wolf-Rüdiger;717
Matthäus;716
Meik;715
Fernando;714
Valeria;713
Jens-Peter;711
Hansjürgen;711
Heidelinde;710
Sepp;710
Roy;710
Lambert;709
Ilonka;708
Dragica;707
Guntram;707
Wilfriede;706
Diedrich;706
Yilmaz;704
Gordana;701
Felizitas;700
Agnieszka;697
Damian;696
Cilly;695
Swantje;694
Urte;693
Hubertine;692
Constantin;690
Abdullah;689
Stanislaus;687
Ole;687
Adelgunde;686
Andrei;685
Freya;683
Sieghard;681
Karl-Peter;681
Irmi;680
Marianna;679
Steve;678
Patrik;677
Zeynep;675
Cristina;674
Bertha;674
Jurij;674
Reimer;673
Cord;673
Ismet;671
Iwan;670
Niko;669
Carmine;668
Yvette;667
Sevim;664
Zenta;663
Tilman;663
Ömer;661
Lilian;660
Magret;659
Volkhard;659
Mirja;657
Raymond;657
Burkhardt;654
Pasquale;651
Nicolai;651
Kilian;651
Pius;649
Erol;649
Cora;648
Yasmin;647
Jadwiga;647
Rotraut;646
Wolfhard;645
Clarissa;643
Branko;643
Raphaela;640
Adelbert;640
Ditmar;639
Liesa;638
Paolo;637
Birthe;635
Eileen;631
Wibke;629
Stephen;629
Jacob;626
Hans-Michael;626
Georgine;625
Valerij;625
Ahmad;625
German;624
Leyla;622
Dominic;622
Justine;620
Cathleen;620
Katarzyna;617
Harm;616
Lilija;614
Hajo;614
Stjepan;613
Zeljko;612
Sonia;611
Hassan;611
Pavel;610
Franka;608
Aynur;607
Margaret;605
Patric;604
Orhan;604
Yasemin;603
Herrmann;603
Ingetraud;602
Reinhart;602
Philomena;601
Aleksandra;600
Laszlo;597
Hans-Herbert;597
Hans-Helmut;597
Lili;596
Mohammed;595
Liliane;593
Tadeusz;591
Gilda;588
Claudius;588
Carmela;585
Athanasios;585
Filiz;584
Fredy;584
Britt;583
Luis;583
Gudula;582
Priska;580
Raisa;578
Albertine;578
Randolf;578
Janett;577
Andrew;577
George;576
Michaele;575
Krzysztof;575
Hedy;574
Petar;573
Ferdi;572
Goran;571
Curt;571
Baldur;570
Hans-Erich;569
Karl-Hans;568
Charles;568
Kristian;567
Arnim;566
Marie-Theres;565
Camilla;564
Kreszentia;563
Claire;563
Frederik;560
Timm;559
Krista;557
Kunigunda;556
Carolina;554
Annelene;554
Olena;553
Ljubica;552
Gretl;549
Aysel;549
Ricardo;549
Carmelo;549
Alf;549
Xenia;548
Blanka;547
Janna;546
Hiltraud;546
Suse;544
Janos;542
Gerhart;542
Apollonia;541
Carl-Heinz;540
Benita;539
Juan;539
Kunibert;538
Virginia;537
Katherina;537
Gislinde;537
Monja;536
Gundolf;535
Süleyman;534
Aribert;534
Hakan;533
Slavica;532
Carin;532
Elizabeth;531
Mariana;529
Brit;529
Stanislav;528
Alexej;528
Katy;527
Elif;527
Tibor;526
Heinz-Willi;525
Hildegunde;524
Meryem;523
Mahmut;523
Hans-Henning;523
Danica;522
Holm;521
Klothilde;520
Ramon;520
Ante;520
Adem;520
Hans-Gerhard;519
Dariusz;519
Roselinde;517
Irmtrud;517
Urban;517
Notburga;516
Freia;515
Flora;515
